mid,name,name yomigana,artist,artist yomigana,music ascii,simplified chinese,original artist,aka1,aka2,aka3,aka4,aka5,aka6,aka7
1,ALBIDA Powerless Mix,arubidapawaaresumikkusu,無力P,muryokupii,albida muryoku,,DJ YOSHITAKA|4C,,,,,,,
2,Broken 8cmix,burookun'eitoshiimikkusu,iroha(sasaki),irohasasaki,broken iroha,,dj TAKA feat. AiMEE,眼睛,,,,,,
3,ヒマワリ MUZIK SERVANT Remix,himawarimyuujikkusaavantorimikkusu,MUZIK SERVANT,myuujikkusaavanto,himawari muzik servant,,RIYU from BeForU,向日葵|太阳花|🌻,,,,,,
4,凛として咲く花の如く スプーキィテルミィンミックス,rintoshitesakuhananogotokusupuukiiterumiinmikkusu,マチゲリータ,machigeriita,rinhana machigerita,宛如凛风中绽放的花,紅色リトマス|まらしぃ,凛花,,,,,,
5,MAX 300 takamatt MIN REMIX,makkususanbyakutakamattominimamurimikkusu,takamatt,takamatto,max300 takamatt,,,,,,,,,
6,PULSE LASER,parusureezaa,ヒゲドライバー,higedoraibaa,pulse laser higedriver,,,,,,,,,
7,good high school,guddohaisukuuru,baker,beikaa,good high school baker,,,好高中,,,,,,
8,smooooch・∀・ KN mix,sumuuchikeeenumikkusu,KN,keeenu,smooooch kn,,kors k,芭蕾,霉鬼|(・∀・)|（・∀・）,,,,,
9,Love♡sicK,rabushikku,8#Prince(八王子P),hachioujipii,lovesick 8prince,,,love sick,,,,,,
10,It's over,ittsuoobaa,ゆよゆっぺ feat.めらみぽっぷ,yuyoyuppefiicharingumeramipoppu,its over yuyoyuppe,,,,,,,,,
11,ガッテンだ!! Novoiski Remix,gattendanoboisukirimikkusu,ノボイスキ,noboisuki,gattenda noboisuki,,すわひでお with manzo,,,,,,,
12,ふしぎなくすり いっきのみっくす,fushiginakusuriikkinomikkusu,ゆうゆ,yuuyu,fushiginakusuri yuuyu,,,,,,,,,
13,Love♡Shine わんだふるmix,rabushainwandafurumikkusu,ARM (IOSYS) feat. 一ノ瀬月琉 (monotone),aamufiicharinguichinoseruru,loveshine arm,,小坂りゆ,,,,,,,
14,Evans VolteX Pf arrange,ebansuvorutekusupianoarenji,cosMo＠暴走P,kosumoattobousoupii,evans cosmo,,DJ YOSHITAKA|4C,,,,,,,
15,jet coaster☆girl sasakure.UK tRiCkStAr Remix,jiettokoosutaagaarutorikkusutaarimikkusu,sasakure.UK feat. mirto,sasakureyuukeefiicharingumiruto,jetcoastergirl 3390uk,,TOMOSUKE feat. Three Berry Icecream,,,,,,,
16,Ha･lle･lu･jah,hareruya,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,hallelujah soundholic,,,哈利路亚,,,,,,
17,dilemma,jirenma,豚乙女,butaotome,dilemma butaotome,,,,,,,,,
18,Iterator,itereitaa,yanagi,yanagi,iterator yanagi,,,,,,,,,
19,「月風魔伝」龍骨鬼戦 yks Remix,getsufuumadenryuukotsukisenwaikeeesurimikkusu,yuukiss,yuukissu,geppumaden yuukiss,月风魔传龙骨鬼战,コナミ矩形波動剣,,,,,,,
,,,,,,,,,,,,,,
21,SurVALI,suubari,YM,waiemu,survali ym,,,,,,,,,
22,バタフライキャット,batafuraikyatto,daniwell,danieru,butterflycat daniwell,,,,,,,,,
23,ナナイロ,nanairo,otetsu,otetsu,nanairo otetsu,,,,,,,,,
